date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:09:07	226/226	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:53%20GMT	https://www.nitt.edu/admissions/btech	D:/nit/nit/www.nitt.edu/admissions/btech	(from https://www.nitt.edu/home/academics/departments/prod/)
23:09:08	227/227	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:53%20GMT	https://www.nitt.edu/home/admissions/btech	D:/nit/nit/www.nitt.edu/home/admissions/btech	(from https://www.nitt.edu/home/academics/departments/prod/)
23:09:08	275/275	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:53%20GMT	https://www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem5/cs309/	D:/nit/nit/www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem5/cs309/index.html	(from https://www.nitt.edu/home/sitemap/)
23:09:08	225/225	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:53%20GMT	https://www.nitt.edu/students/events	D:/nit/nit/www.nitt.edu/students/events	(from https://www.nitt.edu/home/academics/departments/prod/)
23:09:08	226/226	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:54%20GMT	https://www.nitt.edu/home/students/events	D:/nit/nit/www.nitt.edu/home/students/events	(from https://www.nitt.edu/home/academics/departments/prod/)
23:09:08	238/238	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:54%20GMT	https://www.nitt.edu/students/facilitiesnservices	D:/nit/nit/www.nitt.edu/students/facilitiesnservices	(from https://www.nitt.edu/home/academics/departments/prod/)
23:09:08	239/239	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:54%20GMT	https://www.nitt.edu/home/students/facilitiesnservices	D:/nit/nit/www.nitt.edu/home/students/facilitiesnservices	(from https://www.nitt.edu/home/academics/departments/prod/)
23:09:09	275/275	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:54%20GMT	https://www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem5/cs311/	D:/nit/nit/www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem5/cs311/index.html	(from https://www.nitt.edu/home/sitemap/)
23:09:09	275/275	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:54%20GMT	https://www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem5/cs313/	D:/nit/nit/www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem5/cs313/index.html	(from https://www.nitt.edu/home/sitemap/)
23:09:09	275/275	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:55%20GMT	https://www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem5/cs315/	D:/nit/nit/www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem5/cs315/index.html	(from https://www.nitt.edu/home/sitemap/)
23:09:09	269/269	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:55%20GMT	https://www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem6/	D:/nit/nit/www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem6/index.html	(from https://www.nitt.edu/home/sitemap/)
23:09:10	275/275	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:55%20GMT	https://www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem6/cs302/	D:/nit/nit/www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem6/cs302/index.html	(from https://www.nitt.edu/home/sitemap/)
23:09:10	275/275	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:55%20GMT	https://www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem6/cs304/	D:/nit/nit/www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem6/cs304/index.html	(from https://www.nitt.edu/home/sitemap/)
23:09:10	275/275	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:56%20GMT	https://www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem6/cs306/	D:/nit/nit/www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem6/cs306/index.html	(from https://www.nitt.edu/home/sitemap/)
23:09:10	275/275	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:56%20GMT	https://www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem6/cs310/	D:/nit/nit/www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem6/cs310/index.html	(from https://www.nitt.edu/home/sitemap/)
23:09:11	275/275	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:56%20GMT	https://www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem6/cs312/	D:/nit/nit/www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem6/cs312/index.html	(from https://www.nitt.edu/home/sitemap/)
23:09:11	24983/24983	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20Mar%202022%2016:06:56%20GMT	https://www.nitt.edu/home/students/facilitiesnservices/lhc/+login	D:/nit/nit/www.nitt.edu/home/students/facilitiesnservices/lhc/+login.html	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:11	275/275	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:56%20GMT	https://www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem6/cs314/	D:/nit/nit/www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem6/cs314/index.html	(from https://www.nitt.edu/home/sitemap/)
23:09:11	269/269	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:57%20GMT	https://www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem7/	D:/nit/nit/www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem7/index.html	(from https://www.nitt.edu/home/sitemap/)
